"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @SchalkDormehl","@SchalkDormehl follows"
hapewives,HAPEWIVES,"Ethereum Blockchain","94,674",29,"25 Dec 2021 19:19:55",172,"27 May 2022 22:51:33","Collection of 8888 NFTs ✨ inspired by powerful & influential women💃",https://linktr.ee/hapewives,64.5,7,19.8,72.5,,
departedapes,"Departed Apes",Ethereum,"18,458",47,"18 Feb 2022 03:53:06",82,"06 Jun 2022 15:00:02","Go deep undercover with the 1st of its kind NFT collection officially powered by a cinematic masterpiece. Pick your side but #trustnoape https://t.co/DeTx6Fee3W",https://departedapes.io,61.3,13.8,25,72.8,,
0xTycoon,"tycoon.eth ⟠ 🦇🔊🐼🚬",,"12,200","2,255","22 Jun 2011 13:15:03","17,378","06 Jun 2022 03:52:58","#Ethereum #DeFi #NFTs alpha tester. Former #cryptopunks highest-price purchase record holder. (Punk 4513 aka Zombeanie) https://t.co/sFK78x0rDC",https://github.com/0xTycoon,42.5,25.5,62.5,72.5,,"17 May 2022"
blur_io,Blur,Ethereum,"91,681",78,"12 Jan 2022 18:59:41",68,"04 Jun 2022 16:00:16","The NFT marketplace for pro traders. Coming soon Discord: https://t.co/UdIqx7qmjq",https://linktr.ee/blur,46.3,25.4,17.9,72.5,,
deurisman,Deuris,Ethereum,"9,768",28,"02 Jan 2019 13:55:01",380,"19 May 2022 15:46:20","Crypto Entrepreneur | NFT Holder | #INVESTING Holding #Crypto: #BNB #SOL #BTC #ETH #XTZ #MATIC #AVAX",,6,93,1.5,72.4,,
WarriorRascalz,WarriorRascalz.nft,"ETH Blockchain","9,985",925,"02 Mar 2022 19:20:55",401,"05 Jun 2022 14:57:06","3500 Warrior Rascalz | Free Mint",https://www.warriorrascalz.io/,78.9,7,62.8,72.2,,
AetherGamesInc,"Aether Games Inc","Ethereum Blockchain","25,843",51,"18 Feb 2014 23:21:22",167,"02 Jun 2022 18:07:52","Aether Games Inc. is a Game Development studio with a strong focus on artistic excellence and Blockchain-based development utilizing NFT technology",https://linktr.ee/AetherGames,79.5,5.5,22.6,72.3,,
SolfNFT,"SO⅃F (ETH)",Ethereum,"17,526",2,"31 Dec 2021 07:10:59",136,"20 Apr 2022 11:41:42","Solf is a unique NFT project consisting of 4,000 digital art collectibles. Powered by and living on the ETH Network! Join our discord: https://t.co/vhAx1DaNbF",http://solfnft.com,76.5,0.7,35.3,72.3,,
dorks_nft,"DORKS NFT // GEN 1 MINTING NOW!!!","Mint here 👉","13,150",122,"14 Feb 2022 14:31:19",610,"25 May 2022 21:17:21","Crazy little sporks on the Ethereum Blockchain & Solana | Art by @jeffreydcleary | https://t.co/M7MEQHXca0",https://dorksnft.com,38,41.5,25.5,72.3,,
cyber_frogz,"Cyber Frogz",Ethereum,"18,129",4,"15 Sep 2021 16:07:31",127,"28 May 2022 15:51:46","5,555 Cyber Frogz. Project for NFT, DeFi, & Web 3 enthusiasts. ✨ https://t.co/Ko4ijOvcgB",https://opensea.io/collection/cyberfrogz,57.1,3.2,19.8,72.1,,
DeanSteinerNFT,DeanSteiner.eth,Liechtenstein,"69,225",461,"26 Sep 2021 18:13:05","1,293","03 Jun 2022 15:47:00","NFT INFLUENCER | NFT COLLECTOR 😇 | DM me for promotion 📥 Eth wallet domain: deansteiner.eth #Ethereum",,3.5,46,7,72.1,,
MoonApeLab,"Moon Ape Lab","Otherside Metaverse","25,505",80,"03 Nov 2021 12:01:30",552,"04 Jun 2022 18:30:48","Moon Ape Lab is a verified collection of unique NFTs on Ethereum | Moon Ape Genesis | Moon Ape Pets | Moon Ape Loot | Moon Ape Cola | Mutated Moon Apes",https://linktr.ee/MoonApeLab,59.1,31.3,15.7,72.2,,
cronos_chain,Cronos,,"177,849",61,"05 Jul 2021 01:59:54",399,"03 Jun 2022 10:32:55","Cronos - The first blockchain that interoperates with both Ethereum and Cosmos ecosystems. For DeFi, NFTs, Games and Metaverse.",https://cronos.org/,77,20,3.5,72,,
thepeople_reign,"Silk Road Collection (Minting Now!)",Ethereum,"31,485",0,"21 Apr 2022 18:48:39",56,"31 May 2022 20:17:20","A global #NFT collective, platform, and studio for gifted, and emerging artist. Silk Road Collection Minting Now🧪https://t.co/VHz98CiQTo",http://peoplereign.com,79.6,11.1,25.9,71.9,,
bm_saw,"👑QUΞΞN💎NFTs|Promotor","MetaVerse🌈","41,740","6,015","06 Mar 2021 13:02:19","9,061","18 Apr 2022 12:51:40","✨NFTs | #Marketing | #Giveaway | #BTC #Solana #ADA #Ethereum #OpenSea DM us📲for Promotions ——Professional Promotion Team ⚖",,51.5,42.5,12.5,71.9,,
CriptoNoticias,CriptoNoticias,"Mundo de habla hispana","199,990",280,"11 Apr 2015 14:15:29","74,043","05 Jun 2022 01:00:00","Portal de noticias, información, opinión y análisis en español sobre #Bitcoin, #Ethereum, #criptomonedas, #DeFi, #NFT. |Telegram📲https://t.co/TPlxBBPBAY",http://www.criptonoticias.com,96.5,1,3,72.5,,
DinoFamNFTs,"DinoFam™ Collections","Ethereum Block chain","14,512","1,331","14 Sep 2021 21:47:09","4,905","05 Jun 2022 12:00:01","An NFT Brand built to Evolve with the NFT Market - Create - Adapt - Diversify - Sustain - https://t.co/5MtnYb3xKb",https://dinofam.io/,59,37,6,71.5,,
fastmoney_nft,"mr. richie","new york","45,207",59,"17 Sep 2014 18:47:57","1,438","03 Jun 2022 15:48:10","NFT LOVER AND COLLECTOR | #NFT #NFTCommunity #nftcollector #Ethereum | DM for PROMOTION",,4.5,70.9,0.5,71.5,,
